unique_work_order_no,create_date_raw,equipment_asset_no,datetime_open_raw,datetime_closed_raw,vendor_id,vendor_name,clean_work_order_key,maintenance_vehicle_key,maintenance_vendor_key,clean_labor_cost,clean_parts_cost,clean_commercial_cost,clean_total_cost,clean_record_status,alteryx_processed_at,source_table,source_record_id,asset_no,vehicle_id,clean_vehicle_key,clean_vendor_key
WO-2024-001647,2024-02-16 14:05:00,10008,2024-02-17 02:05:00,2024-02-23 17:05:00,V2050,Reliable Truck Service,WO-2024-001647,10008,V2050,1110.90,567.37,441.72,2119.99,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001647,10008,VH-10008,VH-10008,V2050
WO-2026-001811,2024-04-18 14:20:00,10008,2024-04-18 14:20:00,2024-04-22 23:20:00,V2007,Midwest Diesel Service,WO-2026-001811,10008,V2007,1683.62,890.28,789.87,3363.77,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001811,10008,VH-10008,VH-10008,V2007
WO-2024-003474,08/08/2024 16:05,10008,2024-08-09 12:05:00,2024-08-14 19:05:00,V2013,Industrial Equipment Repair,WO-2024-003474,10008,V2013,488.50,1783.45,0.00,2271.95,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003474,10008,VH-10008,VH-10008,V2013
WO-2024-003702,2025-07-23 12:30:00,10008,2025-07-24 04:30:00,2025-07-28 07:30:00,V2065,RoadReady Repairs,WO-2024-003702,10008,V2065,2479.45,1560.61,0.00,4832.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003702,10008,VH-10008,VH-10008,V2065
WO-2026-003011,2026-04-22 08:45:00,10008,2026-04-22 22:45:00,2026-05-01 13:45:00,V2029,Interstate Repair Depot,WO-2026-003011,10008,V2029,2000.52,540.70,69.17,2610.39,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003011,10008,VH-10008,VH-10008,V2029
WO-2026-002801,2025-11-10 02:00:00,10008,2025-11-10 04:00:00,2025-11-16 00:00:00,V9244,Premier Collision Center,WO-2026-002801,10008,V9244,2250.94,196.74,0.00,2447.68,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002801,10008,VH-10008,VH-10008,V9244
WO-2025-003982,2024-11-15 14:15:00,10008,2024-11-16 09:15:00,2024-11-22 00:15:00,V2049,Precision Hydraulics,WO-2025-003982,10008,V2049,327.74,2431.05,124.83,2883.62,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003982,10008,VH-10008,VH-10008,V2049
WO-2024-001209,2026-01-18 10:20:00,10008,2026-01-18 13:20:00,2026-01-23 14:20:00,V2006,"",WO-2024-001209,10008,V2006,481.47,1594.86,700.84,2777.17,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001209,10008,VH-10008,VH-10008,V2006
WO-2026-000134,10/13/2025 15:05,10008,2025-10-14 14:05:00,2025-10-18 21:05:00,V2040,Quick Fuel Partners,WO-2026-000134,10008,V2040,1566.50,685.93,0.00,2252.43,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000134,10008,VH-10008,VH-10008,V2040
WO-2026-002285,2025-06-11 17:05:00,10008,2025-06-13 02:05:00,2025-06-23 14:05:00,V2067,Partner Mobile Mechanics,WO-2026-002285,10008,V2067,267.43,2485.51,0.00,2752.94,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002285,10008,VH-10008,VH-10008,V2067
WO-2026-002282,11/05/2024 18:00,10008,2024-11-07 11:00:00,2024-11-13 07:00:00,V2059,Industrial Equipment Repair,WO-2026-002282,10008,V2059,1603.47,268.53,0.00,1872.00,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002282,10008,VH-10008,VH-10008,V2059
WO-2026-000995,2025-11-23 01:30:00,10358,2025-11-24 08:30:00,2025-11-26 18:30:00,V2065,RoadReady Repairs,WO-2026-000995,10358,V2065,3546.85,202.58,552.20,4301.63,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000995,10358,VH-10358,VH-10358,V2065
WO-2024-003606,2024-07-08 15:45:00,10358,07/09/2024 05:45,2024-07-13 17:45:00,V9487,Premier Collision Center,WO-2024-003606,10358,V9487,1976.48,291.06,359.07,2626.61,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003606,10358,VH-10358,VH-10358,V9487
WO-2025-000490,2024-04-18 23:45:00,10358,04/19/2024 01:45,04/30/2024 12:45,V2002,Quick Fuel Partners,WO-2025-000490,10358,V2002,1311.13,391.85,277.34,2393.19,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000490,10358,VH-10358,VH-10358,V2002
WO-2025-000826,06/12/2024 01:45,10358,2024-06-12 06:45:00,2024-06-14 14:45:00,V2062,Apex Maintenance Group,WO-2025-000826,10358,V2062,1691.08,595.51,40.65,2327.24,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000826,10358,VH-10358,VH-10358,V2062
WO-2025-002899,2025-10-03 15:00:00,10358,2025-10-05 13:00:00,2025-10-10 19:00:00,V2014,Precision Hydraulics,WO-2025-002899,10358,V2014,261.22,59.96,454.51,775.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002899,10358,VH-10358,VH-10358,V2014
WO-2026-003575,2024-12-15 01:45:00,10358,12/16/2024 02:45,2024-12-21 21:45:00,V2005,RoadReady Repairs,WO-2026-003575,10358,V2005,545.01,525.36,0.00,1070.37,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003575,10358,VH-10358,VH-10358,V2005
WO-2024-002748,2024-08-22 00:30:00,10358,2024-08-23 03:30:00,2024-08-28 03:30:00,V2032,Reliable Truck Service,WO-2024-002748,10358,V2032,2365.31,961.85,0.00,3327.16,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002748,10358,VH-10358,VH-10358,V2032
WO-2025-000073,2025-10-13 12:45:00,10358,2025-10-14 08:45:00,2025-10-18 09:45:00,V9349,Midwest Diesel Service,WO-2025-000073,10358,V9349,458.02,1123.35,63.04,1644.41,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000073,10358,VH-10358,VH-10358,V9349
WO-2025-003139,2025-01-08 22:05:00,10290,2025-01-09 06:05:00,2025-01-14 22:05:00,V2030,Industrial Equipment Repair,WO-2025-003139,10290,V2030,1947.68,2015.96,310.59,4274.23,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003139,10290,VH-10290,VH-10290,V2030
WO-2026-003962,04/29/2025 07:00,10290,2025-04-30 02:00:00,2025-05-04 23:00:00,"",Interstate Repair Depot,WO-2026-003962,10290,"",1562.71,2184.80,753.82,4501.33,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003962,10290,VH-10290,VH-10290,INTERSTATE REPAIR DEPOT
WO-2025-002380,2024-02-16 22:15:00,10290,2024-02-18 05:15:00,2024-02-23 15:15:00,V2048,Northside Fleet Repair,WO-2025-002380,10290,V2048,2257.01,1895.15,706.31,4858.47,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002380,10290,VH-10290,VH-10290,V2048
WO-2024-002304,2025-09-23 09:10:00,10290,2025-09-25 03:10:00,2025-10-03 02:10:00,V2022,Precision Hydraulics,WO-2024-002304,10290,V2022,720.41,15.71,980.50,2342.51,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002304,10290,VH-10290,VH-10290,V2022
WO-2026-002042,2026-03-30 12:00:00,10290,2026-03-31 04:00:00,2026-04-04 23:00:00,V2050,Reliable Truck Service,WO-2026-002042,10290,V2050,2103.06,2394.73,1031.23,5529.02,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002042,10290,VH-10290,VH-10290,V2050
WO-2024-001908,2024-10-13 04:10:00,10290,2024-10-13 07:10:00,2024-10-15 09:10:00,V2030,Industrial Equipment Repair,WO-2024-001908,10290,V2030,1727.72,2082.41,119.08,3929.21,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001908,10290,VH-10290,VH-10290,V2030
WO-2026-002078,2025-03-01 05:20:00,10290,2025-03-01 23:20:00,2025-03-06 18:20:00,V2009,"Joe's Automotive LLC",WO-2026-002078,10290,V2009,1227.46,2155.41,0.00,3382.87,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002078,10290,VH-10290,VH-10290,V2009
WO-2024-002928,2025-09-27 21:30:00,10290,2025-09-29 20:30:00,2025-10-04 14:30:00,V2054,Precision Hydraulics,WO-2024-002928,10290,V2054,248.42,947.98,305.05,1501.45,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002928,10290,VH-10290,VH-10290,V2054
WO-2024-001884,2025-03-18 22:30:00,10290,2025-03-19 08:30:00,2025-03-25 01:30:00,V2008,Reliable Truck Service,WO-2024-001884,10290,V2008,2048.53,1824.45,0.00,4130.76,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001884,10290,VH-10290,VH-10290,V2008
WO-2026-002168,2025-01-21 06:45:00,10290,2025-01-21 13:45:00,2025-01-26 22:45:00,V2069,FleetPro Service Center,WO-2026-002168,10290,V2069,421.91,351.16,0.00,773.07,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002168,10290,VH-10290,VH-10290,V2069
WO-2024-002985,2026-01-13 06:05:00,10322,2026-01-14 09:05:00,2026-01-17 18:05:00,"","Joe's Automotive LLC",WO-2024-002985,10322,"",1043.42,1085.55,0.00,2128.97,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002985,10322,VH-10322,VH-10322,"JOE'S AUTOMOTIVE LLC"
WO-2024-003870,2025-09-22 09:10:00,10322,2025-09-22 15:10:00,09/25/2025 09:10,V2056,Precision Hydraulics,WO-2024-003870,10322,V2056,287.49,2025.89,427.35,2740.73,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003870,10322,VH-10322,VH-10322,V2056
WO-2025-000913,2025-11-15 17:15:00,10322,2025-11-15 20:15:00,2025-11-22 00:15:00,"",Interstate Repair Depot,WO-2025-000913,10322,"",1101.99,1161.70,938.32,3202.01,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000913,10322,VH-10322,VH-10322,INTERSTATE REPAIR DEPOT
WO-2026-001010,2024-05-29 12:30:00,10322,2024-05-29 23:30:00,2024-06-05 12:30:00,V2023,Budget Auto Care,WO-2026-001010,10322,V2023,438.09,162.45,0.00,600.54,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001010,10322,VH-10322,VH-10322,V2023
WO-2025-002815,2026-02-14 13:00:00,10322,2026-02-15 22:00:00,2026-02-21 06:00:00,V2068,Premier Collision Center,WO-2025-002815,10322,V2068,2734.15,176.12,0.00,3646.57,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002815,10322,VH-10322,VH-10322,V2068
WO-2025-003739,2024-06-22 21:20:00,10322,2024-06-23 07:20:00,2024-06-25 15:20:00,V2015,GreenCharge,WO-2025-003739,10322,V2015,491.74,956.61,0.00,1448.35,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003739,10322,VH-10322,VH-10322,V2015
WO-2025-003544,2024-11-26 18:45:00,10322,2024-11-27 13:45:00,2024-11-29 18:45:00,V2049,Precision Hydraulics,WO-2025-003544,10322,V2049,507.32,1233.89,0.00,1741.21,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003544,10322,VH-10322,VH-10322,V2049
WO-2026-001571,2025-11-30 09:00:00,10322,2025-11-30 13:00:00,12/06/2025 10:00,V2030,Industrial Equipment Repair,WO-2026-001571,10322,V2030,902.58,108.80,0.00,1011.38,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001571,10322,VH-10322,VH-10322,V2030
WO-2025-001906,2025-10-23 01:20:00,10322,2025-10-24 06:20:00,2025-10-26 07:20:00,V2026,Reliable Truck Service,WO-2025-001906,10322,V2026,1276.76,964.28,868.22,3109.26,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001906,10322,VH-10322,VH-10322,V2026
WO-2025-000562,2024-01-04 07:15:00,10322,2024-01-06 07:15:00,2024-01-14 17:15:00,V2038,Urban Fleet Maintenance,WO-2025-000562,10322,V2038,162.38,1251.52,0.00,1413.90,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000562,10322,VH-10322,VH-10322,V2038
WO-2025-001624,2024-04-06 20:00:00,10322,2024-04-08 16:00:00,2024-04-11 06:00:00,V2055,Allied Mechanics,WO-2025-001624,10322,V2055,1952.01,1571.81,289.92,3813.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-001624,10322,VH-10322,VH-10322,V2055
WO-2024-003177,2024-12-06 23:15:00,10322,2024-12-08 18:15:00,2024-12-15 07:15:00,V2038,Urban Fleet Maintenance,WO-2024-003177,10322,V2038,3263.03,1478.36,0.00,4741.39,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003177,10322,VH-10322,VH-10322,V2038
WO-2026-002144,2025-07-04 06:45:00,10322,2025-07-04 18:45:00,07/19/2025 17:45,V2046,Atlas Heavy Truck,WO-2026-002144,10322,V2046,2272.54,626.98,1158.56,4058.08,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002144,10322,VH-10322,VH-10322,V2046
WO-2025-003784,2025-02-26 09:20:00,10322,2025-02-27 22:20:00,2025-03-01 01:20:00,V2061,Apex Maintenance Group,WO-2025-003784,10322,V2061,412.15,2494.67,1124.94,4031.76,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003784,10322,VH-10322,VH-10322,V2061
WO-2026-003650,2024-02-06 17:45:00,10368,2024-02-08 13:45:00,2024-02-14 17:45:00,V2014,BlueLine Fuel,WO-2026-003650,10368,V2014,1986.28,2084.12,219.34,4289.74,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003650,10368,VH-10368,VH-10368,V2014
WO-2026-002213,09/03/2024 12:15,10368,2024-09-03 23:15:00,09/09/2024 23:15,V2034,Premier Collision Center,WO-2026-002213,10368,V2034,2561.10,1457.41,0.00,4018.51,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002213,10368,VH-10368,VH-10368,V2034
WO-2024-001917,2025-07-16 12:20:00,10368,2025-07-18 04:20:00,2025-07-21 15:20:00,V2047,Precision Hydraulics,WO-2024-001917,10368,V2047,297.74,485.82,985.13,1768.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001917,10368,VH-10368,VH-10368,V2047
WO-2025-003955,2024-06-06 16:10:00,10368,2024-06-08 09:10:00,2024-06-12 12:10:00,V2049,Precision Hydraulics,WO-2025-003955,10368,V2049,1268.75,306.14,0.00,1574.89,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003955,10368,VH-10368,VH-10368,V2049
WO-2026-002876,2025-06-08 20:00:00,10368,2025-06-10 20:00:00,2025-06-16 13:00:00,V2004,FleetPro Service Center,WO-2026-002876,10368,V2004,514.26,1548.25,0.00,2062.51,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002876,10368,VH-10368,VH-10368,V2004
WO-2025-002482,2026-02-22 23:00:00,10368,2026-02-24 15:00:00,2026-03-01 01:00:00,V2035,Premier Collision Center,WO-2025-002482,10368,V2035,1275.73,1006.03,826.20,3107.96,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002482,10368,VH-10368,VH-10368,V2035
WO-2025-003082,2024-01-09 02:05:00,10368,2024-01-09 18:05:00,2024-01-13 16:05:00,V2022,Precision Hydraulics,WO-2025-003082,10368,V2022,588.03,1188.23,0.00,1776.26,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003082,10368,VH-10368,VH-10368,V2022
WO-2026-002825,06/14/2025 23:20,10368,2025-06-15 11:20:00,2025-06-19 07:20:00,V2013,Industrial Equipment Repair,WO-2026-002825,10368,V2013,653.31,2114.13,0.00,2767.44,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002825,10368,VH-10368,VH-10368,V2013
WO-2026-001721,2024-03-05 17:00:00,10351,2024-03-07 16:00:00,2024-03-13 15:00:00,V2070,Premier Collision Center,WO-2026-001721,10351,V2070,2534.87,1016.45,830.55,4381.87,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001721,10351,VH-10351,VH-10351,V2070
WO-2026-002756,2025-07-10 02:10:00,10351,07/11/2025 05:10,2025-07-18 04:10:00,V2017,"",WO-2026-002756,10351,V2017,507.28,23.47,468.78,999.53,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002756,10351,VH-10351,VH-10351,V2017
WO-2025-000466,2025-01-29 11:15:00,10351,2025-01-30 12:15:00,2025-02-07 05:15:00,V2020,Universal Fleet Solutions,WO-2025-000466,10351,V2020,1587.56,550.50,0.00,2138.06,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000466,10351,VH-10351,VH-10351,V2020
WO-2026-002174,2024-01-08 02:10:00,10351,2024-01-09 04:10:00,2024-01-15 01:10:00,V2033,Precision Hydraulics,WO-2026-002174,10351,V2033,655.44,1158.69,0.00,1814.13,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002174,10351,VH-10351,VH-10351,V2033
WO-2026-000305,2024-10-20 06:45:00,10351,2024-10-21 20:45:00,2024-10-26 13:45:00,V2050,Reliable Truck Service,WO-2026-000305,10351,V2050,612.74,2358.34,1027.58,3998.66,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000305,10351,VH-10351,VH-10351,V2050
WO-2025-002401,2024-12-11 07:45:00,10351,12/11/2024 17:45,12/17/2024 10:45,V2054,Precision Hydraulics,WO-2025-002401,10351,V2054,229.00,377.69,0.00,606.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002401,10351,VH-10351,VH-10351,V2054
WO-2026-001388,2024-06-24 18:00:00,10309,2024-06-25 09:00:00,2024-06-27 19:00:00,V2060,Midwest Diesel Service,WO-2026-001388,10309,V2060,2143.64,177.09,263.19,2583.92,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-001388,10309,VH-10309,VH-10309,V2060
WO-2026-000425,2024-12-10 01:05:00,10309,12/11/2024 04:05,2024-12-23 23:05:00,V2063,Unknown Vendor,WO-2026-000425,10309,V2063,218.52,859.70,0.00,1078.22,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-000425,10309,VH-10309,VH-10309,V2063
WO-2025-000910,2025-09-02 06:15:00,10309,2025-09-03 20:15:00,2025-09-07 13:15:00,V2044,Green Charge,WO-2025-000910,10309,V2044,2567.05,189.54,0.00,2756.59,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-000910,10309,VH-10309,VH-10309,V2044
WO-2024-002700,2024-07-17 02:00:00,10309,2024-07-18 13:00:00,2024-07-21 23:00:00,V2017,Partner Mobile Mechanics,WO-2024-002700,10309,V2017,2936.22,2133.09,337.80,5407.11,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-002700,10309,VH-10309,VH-10309,V2017
WO-2026-003920,2026-04-02 14:00:00,10309,2026-04-03 22:00:00,2026-04-08 02:00:00,V2029,"",WO-2026-003920,10309,V2029,800.93,351.76,0.00,1152.69,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-003920,10309,VH-10309,VH-10309,V2029
WO-2024-003648,2025-01-05 23:15:00,10309,2025-01-07 07:15:00,2025-01-13 06:15:00,V2052,FastLane PM Services,WO-2024-003648,10309,V2052,430.41,1900.45,37.21,2368.07,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-003648,10309,VH-10309,VH-10309,V2052
WO-2024-001248,2025-02-25 10:15:00,10309,2025-02-26 08:15:00,2025-03-02 21:15:00,"",Universal Fleet Solutions,WO-2024-001248,10309,"",302.00,948.87,1197.26,2448.13,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2024-001248,10309,VH-10309,VH-10309,UNIVERSAL FLEET SOLUTIONS
WO-2025-003286,2024-11-03 03:15:00,10309,2024-11-03 05:15:00,2024-11-10 16:15:00,V2038,Urban Fleet Maintenance,WO-2025-003286,10309,V2038,2091.54,2434.96,0.00,4526.50,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-003286,10309,VH-10309,VH-10309,V2038
WO-2025-002509,2024-08-28 10:00:00,10309,2024-08-30 01:00:00,2024-09-04 01:00:00,V2026,Reliable Truck Service,WO-2025-002509,10309,V2026,196.16,1579.49,712.61,2488.26,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2025-002509,10309,VH-10309,VH-10309,V2026
WO-2026-002357,2025-05-31 14:00:00,10037,2025-06-01 18:00:00,2025-06-08 17:00:00,V2058,North Star Garage,WO-2026-002357,10037,V2058,1598.80,2038.22,0.00,3637.02,CLEAN,2026-05-29 14:00:10,raw.maintenance_work_orders_raw,WO-2026-002357,10037,VH-10037,VH-10037,V2058
