fuel_txn_id,transaction_date_raw,registration_no,asset_no,odometer_raw,mpg_raw,source_table,source_record_id,clean_fuel_txn_key,clean_odometer,clean_mpg,alteryx_processed_at,vehicle_id,vin,clean_vehicle_key,has_review_required_exception,clean_record_status
FT-0004863,2024-07-23 04:10:00,EFK0811,10008,30617,8.29,raw.fuel_transactions_raw,FT-0004863,FT-0004863,30617.00,8.29,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0005970,2024-05-04 22:05:00,EFK0811,10008,33536,15.47,raw.fuel_transactions_raw,FT-0005970,FT-0005970,33536.00,15.47,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0003873,2024-10-01 16:20:00,EFK0811,10008,28775,11.66,raw.fuel_transactions_raw,FT-0003873,FT-0003873,28775.00,11.66,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0000373,2024-04-04 20:15:00,EFK0811,10008,25796,3.4,raw.fuel_transactions_raw,FT-0000373,FT-0000373,25796.00,3.40,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0005351,2024-01-15 05:30:00,EFK0811,10008,31532,1.55,raw.fuel_transactions_raw,FT-0005351,FT-0005351,31532.00,1.55,2026-05-29 14:00:10,VH-10008,KE27N66CZC7YSEG7U,VH-10008,0,CLEAN
FT-0003709,2024-10-10 23:20:00,VZC8820,10358,18832,6.97,raw.fuel_transactions_raw,FT-0003709,FT-0003709,18832.00,6.97,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0000085,2024-12-29 14:30:00,VZC8820,10358,12063,6.1,raw.fuel_transactions_raw,FT-0000085,FT-0000085,12063.00,6.10,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0004672,2025-03-19 10:00:00,VZC8820,10358,22929,7.12,raw.fuel_transactions_raw,FT-0004672,FT-0004672,22929.00,7.12,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0007615,2024-01-02 23:30:00,VZC8820,10358,27077,8.94,raw.fuel_transactions_raw,FT-0007615,FT-0007615,27077.00,8.94,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0007072,2025-02-23 12:20:00,VZC8820,10358,26576,10.64,raw.fuel_transactions_raw,FT-0007072,FT-0007072,26576.00,10.64,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0002415,2025-02-28 04:45:00,VZC8820,10358,17028,72.63,raw.fuel_transactions_raw,FT-0002415,FT-0002415,17028.00,72.63,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0005556,2026-04-07 15:20:00,VZC8820,10358,"",19.1,raw.fuel_transactions_raw,FT-0005556,FT-0005556,0.00,19.10,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0000998,2026-03-29 11:05:00,VZC8820,10358,13276,5.31,raw.fuel_transactions_raw,FT-0000998,FT-0000998,13276.00,5.31,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0005226,2025-11-19 00:45:00,VZC8820,10358,23432,8.96,raw.fuel_transactions_raw,FT-0005226,FT-0005226,23432.00,8.96,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0006168,2024-03-17 20:00:00,VZC8820,10358,25334,4.39,raw.fuel_transactions_raw,FT-0006168,FT-0006168,25334.00,4.39,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0007867,2025-09-08 13:45:00,VZC8820,10358,28021,23.9,raw.fuel_transactions_raw,FT-0007867,FT-0007867,28021.00,23.90,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0003437,2024-03-20 17:15:00,VZC8820,10358,18491,47.1,raw.fuel_transactions_raw,FT-0003437,FT-0003437,18491.00,47.10,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0002739,2026-02-10 02:20:00,VZC8820,10358,17838,0.73,raw.fuel_transactions_raw,FT-0002739,FT-0002739,17838.00,0.73,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0005415,2024-12-27 15:05:00,VZC8820,10358,24308,6.84,raw.fuel_transactions_raw,FT-0005415,FT-0005415,24308.00,6.84,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0003861,2024-04-29 10:15:00,QMQ5166,10358,"",2.1,raw.fuel_transactions_raw,FT-0003861,FT-0003861,0.00,2.10,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0003735,2024-11-10 05:30:00,VZC8820,10358,20059,32.32,raw.fuel_transactions_raw,FT-0003735,FT-0003735,20059.00,32.32,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0004012,2024-04-02 14:05:00,VZC8820,10358,21851,9.01,raw.fuel_transactions_raw,FT-0004012,FT-0004012,21851.00,9.01,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0000388,2026-03-03 06:00:00,VZC8820,10358,12112,0.39,raw.fuel_transactions_raw,FT-0000388,FT-0000388,12112.00,0.39,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0004260,2025-04-30 01:15:00,VZC8820,10358,22621,107.88,raw.fuel_transactions_raw,FT-0004260,FT-0004260,22621.00,107.88,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0002151,2025-12-03 01:20:00,VZC8820,10358,14923,4.45,raw.fuel_transactions_raw,FT-0002151,FT-0002151,14923.00,4.45,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0002235,2024-10-06 14:00:00,VZC8820,10358,16285,7.96,raw.fuel_transactions_raw,FT-0002235,FT-0002235,16285.00,7.96,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0001782,2024-10-21 01:20:00,VZC8820,10358,14303,4.14,raw.fuel_transactions_raw,FT-0001782,FT-0001782,14303.00,4.14,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0007587,2024-09-21 15:00:00,VZC8820,10358,26783,20.31,raw.fuel_transactions_raw,FT-0007587,FT-0007587,26783.00,20.31,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0006473,2024-03-15 09:45:00,VZC8820,10358,26168,12.8,raw.fuel_transactions_raw,FT-0006473,FT-0006473,26168.00,12.80,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0001752,2025-07-27 05:05:00,VZC8820,10358,13581,1.61,raw.fuel_transactions_raw,FT-0001752,FT-0001752,13581.00,1.61,2026-05-29 14:00:10,VH-10358,05WP3JHL1BUFX0XMD,VH-10358,0,CLEAN
FT-0005282,2024-12-12 03:30:00,JPA5858,10290,18280,10.3,raw.fuel_transactions_raw,FT-0005282,FT-0005282,18280.00,10.30,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0007579,2025-11-23 20:00:00,JPA5858,10290,20413,11.7,raw.fuel_transactions_raw,FT-0007579,FT-0007579,20413.00,11.70,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0004712,2024-01-22 14:05:00,JPA5858,10290,17721,8.16,raw.fuel_transactions_raw,FT-0004712,FT-0004712,17721.00,8.16,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0006730,2024-04-08 04:30:00,JPA5858,10290,19837,13.86,raw.fuel_transactions_raw,FT-0006730,FT-0006730,19837.00,13.86,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0000927,2024-01-31 11:15:00,JPA5858,10290,16100,11.31,raw.fuel_transactions_raw,FT-0000927,FT-0000927,16100.00,11.31,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0000398,2025-12-23 13:20:00,JPA5858,10290,14941,0.77,raw.fuel_transactions_raw,FT-0000398,FT-0000398,14941.00,0.77,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0004329,2025-02-14 21:05:00,JPA5858,10290,17015,3.71,raw.fuel_transactions_raw,FT-0004329,FT-0004329,17015.00,3.71,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0000796,2025-11-16 04:00:00,JPA5858,10290,15525,31.21,raw.fuel_transactions_raw,FT-0000796,FT-0000796,15525.00,31.21,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0005389,2024-07-23 15:05:00,JPA5858,10290,18433,6.73,raw.fuel_transactions_raw,FT-0005389,FT-0005389,18433.00,6.73,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0000917,2024-08-02 07:00:00,JPA5858,10290,15750,16.11,raw.fuel_transactions_raw,FT-0000917,FT-0000917,15750.00,16.11,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0001562,2024-06-01 07:05:00,JPA5858,10290,16780,16.87,raw.fuel_transactions_raw,FT-0001562,FT-0001562,16780.00,16.87,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0006766,2024-06-04 06:00:00,JPA5858,10290,20013,21.15,raw.fuel_transactions_raw,FT-0006766,FT-0006766,20013.00,21.15,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0003984,2024-04-02 16:00:00,JPA5858,10290,16907,4.91,raw.fuel_transactions_raw,FT-0003984,FT-0003984,16907.00,4.91,2026-05-29 14:00:10,VH-10290,NHZW7RSH7F5RU84P0,VH-10290,0,CLEAN
FT-0001972,2025-12-04 04:15:00,GFI3754,10322,19833,4.42,raw.fuel_transactions_raw,FT-0001972,FT-0001972,19833.00,4.42,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0004759,2024-08-19 04:45:00,GFI3754,10322,22097,3.25,raw.fuel_transactions_raw,FT-0004759,FT-0004759,22097.00,3.25,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0007943,2024-12-03 18:10:00,GFI3754,10322,26973,30.75,raw.fuel_transactions_raw,FT-0007943,FT-0007943,26973.00,30.75,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0002313,2025-01-01 01:45:00,GFI3754,10322,20999,35.06,raw.fuel_transactions_raw,FT-0002313,FT-0002313,20999.00,35.06,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0004107,2024-04-29 16:30:00,GFI3754,10322,21710,79.71,raw.fuel_transactions_raw,FT-0004107,FT-0004107,21710.00,79.71,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0000488,2026-03-14 14:20:00,GFI3754,10322,19644,8.0,raw.fuel_transactions_raw,FT-0000488,FT-0000488,19644.00,8.00,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0005986,10/01/2025 15:20,GFI3754,10322,22600,1.12,raw.fuel_transactions_raw,FT-0005986,FT-0005986,22600.00,1.12,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0007793,2025-12-09 23:15:00,GFI3754,10322,26382,48.55,raw.fuel_transactions_raw,FT-0007793,FT-0007793,26382.00,48.55,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0005588,2024-10-12 11:15:00,GFI3754,10322,22399,70.73,raw.fuel_transactions_raw,FT-0005588,FT-0005588,22399.00,70.73,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0007470,2025-10-23 02:45:00,GFI3754,10322,"",33.3,raw.fuel_transactions_raw,FT-0007470,FT-0007470,0.00,33.30,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0006558,01/19/2024 23:00,GFI3754,10322,24802,9.38,raw.fuel_transactions_raw,FT-0006558,FT-0006558,24802.00,9.38,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0007332,2025-12-08 12:45:00,GFI3754,10322,25245,12.31,raw.fuel_transactions_raw,FT-0007332,FT-0007332,25245.00,12.31,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0006201,2025-11-07 01:20:00,GFI3754,10322,23941,142.08,raw.fuel_transactions_raw,FT-0006201,FT-0006201,23941.00,142.08,2026-05-29 14:00:10,VH-10322,1TSJCUZCCMPRUWDHD,VH-10322,0,CLEAN
FT-0000774,2025-07-27 11:15:00,ECP4241,10368,8857,4.08,raw.fuel_transactions_raw,FT-0000774,FT-0000774,8857.00,4.08,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0001958,2025-04-22 02:05:00,ECP4241,10368,12241,7.05,raw.fuel_transactions_raw,FT-0001958,FT-0001958,12241.00,7.05,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0005840,2024-06-17 02:30:00,ECP4241,10368,16786,55.72,raw.fuel_transactions_raw,FT-0005840,FT-0005840,16786.00,55.72,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0001706,2025-07-11 10:00:00,ECP4241,10368,11479,12.21,raw.fuel_transactions_raw,FT-0001706,FT-0001706,11479.00,12.21,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0003215,2024-08-07 22:15:00,ECP4241,10368,13457,31.27,raw.fuel_transactions_raw,FT-0003215,FT-0003215,13457.00,31.27,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0003420,2025-11-19 01:45:00,ECP4241,10368,14097,52.07,raw.fuel_transactions_raw,FT-0003420,FT-0003420,14097.00,52.07,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0002404,2025-08-12 20:05:00,ECP4241,10368,13058,5.91,raw.fuel_transactions_raw,FT-0002404,FT-0002404,13058.00,5.91,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0001689,2025-10-15 15:20:00,ECP4241,10368,10881,6.75,raw.fuel_transactions_raw,FT-0001689,FT-0001689,10881.00,6.75,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0001057,06/15/2025 01:45,ECP4241,10368,10282,34.47,raw.fuel_transactions_raw,FT-0001057,FT-0001057,10282.00,34.47,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0000516,2025-12-20 00:15:00,ECP4241,10368,7828,6.4,raw.fuel_transactions_raw,FT-0000516,FT-0000516,7828.00,6.40,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0004239,2025-02-16 20:15:00,ECP4241,10368,15267,2.31,raw.fuel_transactions_raw,FT-0004239,FT-0004239,15267.00,2.31,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0003486,2025-06-02 19:05:00,ECP4241,10368,14986,44.74,raw.fuel_transactions_raw,FT-0003486,FT-0003486,14986.00,44.74,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0004964,2025-03-03 01:15:00,ECP4241,10368,15713,66.07,raw.fuel_transactions_raw,FT-0004964,FT-0004964,15713.00,66.07,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0006139,2025-03-04 05:45:00,ECP4241,10368,17476,7.94,raw.fuel_transactions_raw,FT-0006139,FT-0006139,17476.00,7.94,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0000662,2026-02-08 02:30:00,ECP4241,10368,8608,31.87,raw.fuel_transactions_raw,FT-0000662,FT-0000662,8608.00,31.87,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0004199,2024-03-20 07:15:00,ECP4241,10368,15183,11.24,raw.fuel_transactions_raw,FT-0004199,FT-0004199,15183.00,11.24,2026-05-29 14:00:10,VH-10368,H48A93VDLGBX1BEBT,VH-10368,0,CLEAN
FT-0002839,2024-09-24 16:10:00,TZA9401,10351,29666,155.86,raw.fuel_transactions_raw,FT-0002839,FT-0002839,29666.00,155.86,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0002478,2025-11-23 21:45:00,TZA9401,10351,26635,70.02,raw.fuel_transactions_raw,FT-0002478,FT-0002478,26635.00,70.02,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0000002,2025-11-13 17:45:00,TZA9401,10351,24652,16.06,raw.fuel_transactions_raw,FT-0000002,FT-0000002,24652.00,16.06,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0002669,2024-03-23 20:20:00,TZA9401,10351,27901,36.33,raw.fuel_transactions_raw,FT-0002669,FT-0002669,27901.00,36.33,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0003667,2025-04-08 22:05:00,TZA9401,10351,30736,21.59,raw.fuel_transactions_raw,FT-0003667,FT-0003667,30736.00,21.59,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0003338,2024-08-15 09:20:00,TZA9401,10351,30151,2.63,raw.fuel_transactions_raw,FT-0003338,FT-0003338,30151.00,2.63,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0002482,2025-09-16 20:20:00,TZA9401,10351,26773,1.01,raw.fuel_transactions_raw,FT-0002482,FT-0002482,26773.00,1.01,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
FT-0005023,2025-02-20 22:00:00,TZA9401,10351,31172,1.29,raw.fuel_transactions_raw,FT-0005023,FT-0005023,31172.00,1.29,2026-05-29 14:00:10,VH-10351,S7F8FF46D6LMU83G9,VH-10351,0,CLEAN
