asset_no,vehicle_id,vin,registration_no,license_plate_state,make,model,model_year,vehicle_type,department_code,department_name,fleet_group,fuel_type,engine_size,transmission_type,acquisition_date,in_service_date,warranty_expiry_date,current_status,current_odometer,parent_asset_no,assigned_location_code,assigned_location_name,source_system,last_updated_date,clean_vehicle_key,source_table,source_record_id,has_review_required_exception,clean_record_status,alteryx_processed_at
10379,VH-10379,3LGR8ZT937SLHUWRN,OOI3784,IN,GMC,Sierra,2023,Truck,1002,Field Services,Service,Dsl,2.0L,AUTO,2023-01-14,2023-04-11,2028-08-16,Out of Service,58914,"",CHI01,Chicago Central Garage,FleetMaster,2025-11-10,VH-10379,raw.vehicle_master_raw,10379,0,CLEAN,2026-05-29 14:00:10
10098,VH-10098,2KAAE8TSF7RDC5SDD,AKO4598,MI,International,MV607,2015,Heavy Truck,1001,Operations,Pool,Diesel,3.5L,AUTO,2015-04-28,2015-06-10,2018-07-06,Retired,236588,"",CHI01,Chicago Central Garage,FleetMaster,02/23/2025,VH-10098,raw.vehicle_master_raw,10098,0,CLEAN,2026-05-29 14:00:10
10148,VH-10148,J0M85U1Z0LH3N1L8W,WWZ4336,WI,Dodge,Ram 1500,2024,Truck,1006,Logistics,Light Duty,DIESEL,3.5L,CVT,2024-05-14,07/25/2024,2027-10-11,In Service,26116,"",STL01,St. Louis Fleet Center,Fleet_Master,2025-01-16,VH-10148,raw.vehicle_master_raw,10148,0,CLEAN,2026-05-29 14:00:10
10316,VH-10316,"",HNS0884,WI,International,MV607,2015,Heavy Truck,1001,Operations,Service,GAS,2.0L,"",2015-04-06,2015-06-25,2018-05-08,Available,214143,"",IND01,Indianapolis Depot,Fleet_Master,2025-04-02,VH-10316,raw.vehicle_master_raw,10316,0,CLEAN,2026-05-29 14:00:10
10191,VH-10191,CVT7YK18TKPA57FNB,IZP6171,MO,Ford,Transit,2012,Van,1003,Sales,Heavy Duty,Gas,5.3L,CVT,11/18/2012,12/14/2012,2015-12-02,Inactive,130671,"",MIL01,Milwaukee Repair Yard,FleetMaster,2026-03-28,VH-10191,raw.vehicle_master_raw,10191,0,CLEAN,2026-05-29 14:00:10
10321,VH-10321,88ATUKDNTHN8DYCJP,JAJ6045,WI,GMC,Sierra,2012,Truck,1008,Executive Fleet,Pool,Diesel,2.0L,"",2012-11-23,02/15/2013,2018-01-30,Active,215449,"",CHI01,Chicago Central Garage,AssetHub,2025-03-25,VH-10321,raw.vehicle_master_raw,10321,0,CLEAN,2026-05-29 14:00:10
10066,VH-10066,4HV1XCH90FUY5Z81F,MTT6502,"",Chevrolet,Silverado,2015,Truck,1005,Customer Support,Executive,GAS,1.8L,AUTO,2015-10-10,2015-12-18,01/01/2020,Retired,215492,"",CHI01,Chicago Central Garage,FleetMaster,2025-09-21,VH-10066,raw.vehicle_master_raw,10066,0,CLEAN,2026-05-29 14:00:10
10227,VH-10227,1XZN94053ZLRCJMPT,WFT3459,IN,GMC,Sierra,2018,Truck,1008,Executive Fleet,Heavy Duty,EV,1.8L,AUTO,2018-09-15,2018-10-27,2021-06-17,Active,138307,"",MIL01,Milwaukee Repair Yard,Fleet_Master,2026-02-09,VH-10227,raw.vehicle_master_raw,10227,0,CLEAN,2026-05-29 14:00:10
10399,VH-10399,CV39S2ALDVKMPELXW,QWJ6840,"",Honda,Civic,2022,Sedan,1008,Executive Fleet,Service,Gasoline,2.0L,Automatic,09/05/2022,2022-09-14,08/07/2025,Available,42605,"",STL01,St. Louis Fleet Center,AssetHub,2025-03-26,VH-10399,raw.vehicle_master_raw,10399,0,CLEAN,2026-05-29 14:00:10
10396,VH-10396,K96FN4E5V8HMBFBMT,CNV7977,MI,Ford,Explorer,2019,SUV,1004,Maintenance,Heavy Duty,GAS,3.5L,Automatic,2019-02-01,2019-03-24,2022-01-31,Active,121827,"",DET01,Detroit Partner Shop,Fleet_Master,2025-06-17,VH-10396,raw.vehicle_master_raw,10396,0,CLEAN,2026-05-29 14:00:10
10263,VH-10263,C6ZZZ58ENWK3D9885,IWQ2863,WI,International,MV607,2017,Heavy Truck,1007,Facilities,Service,Gas,"",Automatic,2017-05-02,07/24/2017,2022-10-04,Active,133044,"",DET01,Detroit Partner Shop,FleetMaster,2025-09-22,VH-10263,raw.vehicle_master_raw,10263,0,CLEAN,2026-05-29 14:00:10
10318,VH-10318,AC20JRKEFFKUJGL0N,ZBP8835,MO,Dodge,Ram 1500,2023,Truck,1005,Customer Support,Heavy Duty,ELECTRIC,6.7L,AUTO,2023-02-07,2023-04-24,2029-02-03,Active,26554,"",DET01,Detroit Partner Shop,AssetHub,2025-11-18,VH-10318,raw.vehicle_master_raw,10318,0,CLEAN,2026-05-29 14:00:10
10391,VH-10391,HX74YKJ2L2J5AH538,SFP3482,MO,Chevrolet,Express,2015,Van,1002,Field Services,Heavy Duty,petrol,1.8L,Manual,2015-08-16,2015-11-04,2018-07-25,ACTIVE,188225,"",IND01,Indianapolis Depot,FleetMaster,2025-01-25,VH-10391,raw.vehicle_master_raw,10391,0,CLEAN,2026-05-29 14:00:10
10187,VH-10187,JWVXBTXPFNRG779T5,FRA6247,MO,Chevrolet,Silverado,2013,Truck,1005,Customer Support,Pool,petrol,"",CVT,04/07/2013,2013-04-19,05/31/2016,In Service,163416,"",IND01,Indianapolis Depot,FleetMaster,2025-09-07,VH-10187,raw.vehicle_master_raw,10187,0,CLEAN,2026-05-29 14:00:10
10182,VH-10182,BVLCGN763JYH55772,RYO2003,IN,International,MV607,2021,Heavy Truck,1005,Customer Support,Pool,Diesel,2.0L,AUTO,2021-04-10,2021-05-22,2026-02-26,Inactive,100137,"",DET01,Detroit Partner Shop,Fleet_Master,2025-04-18,VH-10182,raw.vehicle_master_raw,10182,0,CLEAN,2026-05-29 14:00:10
10170,VH-10170,89GDCXWL391K6WWE8,WPB7166,IN,Chevrolet,Express,2023,Van,1005,Customer Support,Pool,Gasoline,3.5L,Automatic,2023-08-04,2023-11-01,2029-06-17,In Service,57510,10009,IND01,Indianapolis Depot,FleetMaster,2025-09-09,VH-10170,raw.vehicle_master_raw,10170,0,CLEAN,2026-05-29 14:00:10
10176,VH-10176,"",RPV1230,"",Chevrolet,Silverado,2016,Truck,1008,Executive Fleet,Pool,Hybrid,1.8L,CVT,2016-04-02,2016-04-13,2020-06-16,Available,86023,"",STL01,St. Louis Fleet Center,Fleet_Master,2025-06-26,VH-10176,raw.vehicle_master_raw,10176,0,CLEAN,2026-05-29 14:00:10
10070,VH-10070,HLL3PTS9T4FY56BD3,VBL7706,WI,Toyota,Camry,2015,Sedan,1007,Facilities,Heavy Duty,petrol,Electric,AUTO,2015-01-28,2015-02-15,2019-07-14,Inactive,180675,"",IND01,Indianapolis Depot,AssetHub,2025-07-02,VH-10070,raw.vehicle_master_raw,10070,0,CLEAN,2026-05-29 14:00:10
10181,VH-10181,59HBM3W458HECRJFR,WGH5679,MI,Toyota,Prius,2021,Sedan,1008,Executive Fleet,Service,EV,Electric,Automatic,2021-05-13,2021-06-30,2023-12-13,Available,68886,"",DET01,Detroit Partner Shop,FleetMaster,2025-10-14,VH-10181,raw.vehicle_master_raw,10181,0,CLEAN,2026-05-29 14:00:10
10369,VH-10369,T5HW423WZE9J9Z2HZ,WQL9936,MO,Toyota,Camry,2024,Sedan,1003,Sales,Pool,Unleaded,Electric,Manual,2024-04-09,2024-06-07,2028-06-12,Active,20908,"",IND01,Indianapolis Depot,Fleet_Master,2026-01-28,VH-10369,raw.vehicle_master_raw,10369,0,CLEAN,2026-05-29 14:00:10
10229,VH-10229,XTJDVY8C0YH19D8GP,ITD8549,IN,Ford,Explorer,2025,SUV,1006,Logistics,Executive,Dsl,"","",08/07/2025,2025-10-29,2029-12-25,ACTIVE,14812,"",CHI02,Northside Service Hub,FleetMaster,2025-04-26,VH-10229,raw.vehicle_master_raw,10229,0,CLEAN,2026-05-29 14:00:10
10078,VH-10078,LY8BVHHPXSFXN3RLW,LPP9274,WI,Chevrolet,Express,2016,Van,1005,Customer Support,Pool,Gas,2.0L,AUTO,2016-09-17,12/07/2016,2021-05-27,Active,216031,"",CHI01,Chicago Central Garage,Fleet_Master,2026-04-02,VH-10078,raw.vehicle_master_raw,10078,0,CLEAN,2026-05-29 14:00:10
10306,VH-10306,46XY6EP2862GNX5Z1,ZKO2347,"",Chevrolet,Express,2023,Van,1005,Customer Support,Executive,GAS,Electric,AUTO,2023-09-03,2023-09-09,2029-02-10,Out of Service,62725,"",DET01,Detroit Partner Shop,Fleet_Master,2025-09-27,VH-10306,raw.vehicle_master_raw,10306,0,CLEAN,2026-05-29 14:00:10
10214,VH-10214,8637MAYN4LNBN5LJA,CIE7270,"",Honda,Civic,2018,Sedan,1001,Operations,Pool,GAS,3.5L,Automatic,2018-02-09,2018-04-18,12/22/2021,Out of Service,83909,10035,STL01,St. Louis Fleet Center,FleetMaster,2025-06-09,VH-10214,raw.vehicle_master_raw,10214,0,CLEAN,2026-05-29 14:00:10
10102,VH-10102,"",XEV3495,MI,Nissan,NV200,2022,Van,1003,Sales,Executive,Electric,6.7L,"",2022-08-03,2022-10-07,2026-04-09,ACTIVE,83144,"",DET01,Detroit Partner Shop,FleetMaster,2025-12-09,VH-10102,raw.vehicle_master_raw,10102,0,CLEAN,2026-05-29 14:00:10
10410,VH-10410,Z7Y34D2HVZ41RV1SD,TCJ0676,WI,Toyota,Tacoma,2025,Truck,1005,Customer Support,Service,diesel,1.8L,Automatic,2025-04-20,2025-06-18,2030-06-15,In Service,16622,"",IND01,Indianapolis Depot,AssetHub,2025-09-12,VH-10410,raw.vehicle_master_raw,10410,0,CLEAN,2026-05-29 14:00:10
10256,VH-10256,PLE71AVFBTMH4ZSRM,AZP6990,MI,Nissan,NV200,2014,Van,1005,Customer Support,Executive,HYBRID,1.8L,Automatic,2014-05-19,2014-06-13,2017-12-09,Inactive,5514,"",IND01,Indianapolis Depot,Fleet_Master,2026-01-26,VH-10256,raw.vehicle_master_raw,10256,0,CLEAN,2026-05-29 14:00:10
10362,VH-10362,NMHP7GEAHJNYN176L,CPS3067,IL,Honda,Civic,2014,Sedan,1004,Maintenance,Heavy Duty,ELECTRIC,2.5L,Automatic,2014-07-20,2014-08-16,2020-02-08,Available,154681,"",DET01,Detroit Partner Shop,FleetMaster,2025-02-01,VH-10362,raw.vehicle_master_raw,10362,0,CLEAN,2026-05-29 14:00:10
10071,VH-10071,CRMP7MDCCA4SFSK5K,DCB2613,MO,Ford,Transit,2016,Van,1006,Logistics,Pool,DIESEL,5.3L,CVT,2016-03-19,05/20/2016,2020-12-19,Out of Service,159717,"",MIL01,Milwaukee Repair Yard,Fleet_Master,2026-04-04,VH-10071,raw.vehicle_master_raw,10071,0,CLEAN,2026-05-29 14:00:10
10087,VH-10087,"",BSJ3728,IL,Ford,Transit,2019,Van,1008,Executive Fleet,Heavy Duty,HYBRID,1.8L,Manual,2019-07-20,2019-10-01,2025-04-10,Available,123319,"",IND01,Indianapolis Depot,FleetMaster,2025-09-22,VH-10087,raw.vehicle_master_raw,10087,0,CLEAN,2026-05-29 14:00:10
10255,VH-10255,BUBHY7FA64408BHWP,PJY5688,IN,Chevrolet,Silverado,2025,Truck,1003,Sales,Light Duty,Electric,"",AUTO,2025-11-26,2026-02-06,2031-02-20,Available,10787,"",STL01,St. Louis Fleet Center,Fleet_Master,06/09/2025,VH-10255,raw.vehicle_master_raw,10255,0,CLEAN,2026-05-29 14:00:10
10395,VH-10395,VNN44USGABM8VJSZ1,JJM2872,WI,Toyota,Tacoma,2021,Truck,1004,Maintenance,Heavy Duty,Dsl,1.8L,Automatic,09/15/2021,2021-11-07,2026-08-11,Available,56837,"",CHI01,Chicago Central Garage,AssetHub,2025-09-18,VH-10395,raw.vehicle_master_raw,10395,0,CLEAN,2026-05-29 14:00:10
10091,VH-10091,GVKCDLTF4V790KHVH,GSR3898,IL,Chevrolet,Express,2016,Van,1006,Logistics,Heavy Duty,Diesel,5.3L,"",2016-02-04,2016-03-09,2018-10-16,Active,165080,"",IND01,Indianapolis Depot,Fleet_Master,2025-05-22,VH-10091,raw.vehicle_master_raw,10091,0,CLEAN,2026-05-29 14:00:10
10122,VH-10122,JTY4HFXX12V01HK07,SWV3250,MO,Honda,Civic,2024,Sedan,1003,Sales,Heavy Duty,ELECTRIC,2.0L,AUTO,2024-05-27,2024-08-03,2028-08-10,ACTIVE,18181,"",STL01,St. Louis Fleet Center,Fleet_Master,2025-04-29,VH-10122,raw.vehicle_master_raw,10122,0,CLEAN,2026-05-29 14:00:10
10133,VH-10133,X0BJH8LLGL22U0TS6,YUB6116,WI,Ford,Transit,2012,Van,1004,Maintenance,Executive,Gas Hybrid,2.0L,Automatic,2012-04-27,2012-06-19,2017-08-05,ACTIVE,263156,"",IND01,Indianapolis Depot,FleetMaster,2025-09-17,VH-10133,raw.vehicle_master_raw,10133,0,CLEAN,2026-05-29 14:00:10
10415,VH-10415,4H0ZPPGE87V8XG30B,SJE8788,MO,Ford,F-150,2017,Truck,1002,Field Services,Light Duty,diesel,"",Manual,2017-03-11,2017-04-19,2022-08-22,Inactive,95573,"",CHI02,Northside Service Hub,Fleet_Master,2025-10-13,VH-10415,raw.vehicle_master_raw,10415,0,CLEAN,2026-05-29 14:00:10
10360,VH-10360,SXFGPEUNJ18WVLB9L,FPN8559,IN,Ford,F-150,2020,Truck,1004,Maintenance,Pool,Hybrid,6.7L,AUTO,08/26/2020,2020-11-12,2023-12-23,Available,59747,"",STL01,St. Louis Fleet Center,FleetMaster,2025-01-01,VH-10360,raw.vehicle_master_raw,10360,0,CLEAN,2026-05-29 14:00:10
10127,VH-10127,972CNFSC340NG5V3U,AOH6816,IN,Nissan,NV200,2025,Van,1002,Field Services,Light Duty,HYBRID,6.7L,Manual,2025-06-13,2025-08-16,2029-09-11,ACTIVE,18071,"",CHI01,Chicago Central Garage,Fleet_Master,2025-08-26,VH-10127,raw.vehicle_master_raw,10127,0,CLEAN,2026-05-29 14:00:10
10124,VH-10124,WSU4YVB1LFW94LB02,UGT6120,"",Nissan,NV200,2014,Van,1002,Field Services,Executive,ELECTRIC,"",Automatic,2014-05-02,2014-07-10,2020-04-26,In Service,97371,"",CHI01,Chicago Central Garage,AssetHub,2025-09-15,VH-10124,raw.vehicle_master_raw,10124,0,CLEAN,2026-05-29 14:00:10
10273,VH-10273,75Y0UC7TX8WGC0DMK,NJE2207,IL,Toyota,Tacoma,2023,Truck,1004,Maintenance,Light Duty,ELECTRIC,Electric,Manual,2023-02-25,05/08/2023,2026-11-18,Out of Service,52368,"",CHI02,Northside Service Hub,FleetMaster,2026-01-07,VH-10273,raw.vehicle_master_raw,10273,0,CLEAN,2026-05-29 14:00:10
10075,VH-10075,VEYD0T5EFCNS2FG5P,CIB4001,IN,Honda,Civic,2014,Sedan,1004,Maintenance,Service,Gas,2.0L,AUTO,2014-01-09,2014-03-03,03/03/2019,Inactive,109624,"",CHI02,Northside Service Hub,Fleet_Master,2026-01-18,VH-10075,raw.vehicle_master_raw,10075,0,CLEAN,2026-05-29 14:00:10
10269,VH-10269,EGW26A15RBDZ462RH,BLI2196,WI,Freightliner,M2,2017,Heavy Truck,1001,Operations,Light Duty,Electric,Electric,CVT,2017-10-05,2017-12-21,2021-03-04,Active,186550,"",CHI01,Chicago Central Garage,Fleet_Master,2025-09-03,VH-10269,raw.vehicle_master_raw,10269,0,CLEAN,2026-05-29 14:00:10
10202,VH-10202,TEVSL5NKPKDDK9BS6,RZZ7050,MO,Toyota,Tacoma,2025,Truck,1006,Logistics,Heavy Duty,Gas Hybrid,2.0L,CVT,2025-08-22,2025-10-17,2030-07-17,In Service,17212,"",DET01,Detroit Partner Shop,AssetHub,10/09/2025,VH-10202,raw.vehicle_master_raw,10202,0,CLEAN,2026-05-29 14:00:10
10330,VH-10330,"",YKH6158,"",Ford,Transit,2013,Van,1004,Maintenance,Pool,HYBRID,2.5L,AUTO,2013-01-20,2013-03-27,2016-11-30,ACTIVE,241529,"",IND01,Indianapolis Depot,FleetMaster,2025-05-09,VH-10330,raw.vehicle_master_raw,10330,0,CLEAN,2026-05-29 14:00:10
10344,VH-10344,04BJC320UB43L0UA8,ESR8585,MO,Dodge,Ram 1500,2014,Truck,1004,Maintenance,Service,EV,Electric,Automatic,2014-02-05,2014-05-01,2019-12-06,Out of Service,220541,"",CHI01,Chicago Central Garage,FleetMaster,01/30/2025,VH-10344,raw.vehicle_master_raw,10344,0,CLEAN,2026-05-29 14:00:10
10413,VH-10413,N19VH3DCN1464GW8U,GAD8044,"",International,MV607,2012,Heavy Truck,1002,Field Services,Service,GAS,3.5L,"",2012-05-20,2012-06-07,2018-01-24,ACTIVE,271168,"",DET01,Detroit Partner Shop,AssetHub,2025-10-11,VH-10413,raw.vehicle_master_raw,10413,0,CLEAN,2026-05-29 14:00:10
10054,VH-10054,8ASZYASXT41581HW9,JVC2190,"",Honda,Civic,2021,Sedan,1008,Executive Fleet,Heavy Duty,HYBRID,1.8L,AUTO,2021-11-19,2021-12-17,2026-10-12,ACTIVE,77741,"",STL01,St. Louis Fleet Center,FleetMaster,2025-04-17,VH-10054,raw.vehicle_master_raw,10054,0,CLEAN,2026-05-29 14:00:10
10259,VH-10259,GSZY24WCRB9YUV1WB,JPL0322,MI,Freightliner,M2,2022,Heavy Truck,1005,Customer Support,Light Duty,HYBRID,2.5L,"",2022-08-11,2022-10-26,2028-03-25,Active,64585,"",CHI01,Chicago Central Garage,Fleet_Master,2025-10-05,VH-10259,raw.vehicle_master_raw,10259,0,CLEAN,2026-05-29 14:00:10
10400,VH-10400,HS523UK1N80K42AVB,EJO7945,WI,Toyota,Tacoma,2022,Truck,1003,Sales,Service,Diesel,"",AUTO,2022-05-16,2022-08-12,2025-02-11,Out of Service,65557,"",DET01,Detroit Partner Shop,FleetMaster,2025-05-29,VH-10400,raw.vehicle_master_raw,10400,0,CLEAN,2026-05-29 14:00:10
10404,VH-10404,HLKWU395S8L6FV8TH,FUA3249,IN,Dodge,Ram 1500,2024,Truck,1003,Sales,Light Duty,GAS,6.7L,Automatic,2024-07-12,2024-10-06,2027-02-09,Out of Service,28003,"",DET01,Detroit Partner Shop,FleetMaster,2025-01-18,VH-10404,raw.vehicle_master_raw,10404,0,CLEAN,2026-05-29 14:00:10
10056,VH-10056,SRJDFUHZ3P7E8T121,VZK4595,IL,GMC,Sierra,2015,Truck,1006,Logistics,Heavy Duty,Hybrid,5.3L,AUTO,2015-06-16,2015-08-09,2020-08-28,Out of Service,129812,"",IND01,Indianapolis Depot,Fleet_Master,2025-03-13,VH-10056,raw.vehicle_master_raw,10056,0,CLEAN,2026-05-29 14:00:10
10304,VH-10304,DGMHPMY61JK5U9NR5,NJT5668,MO,Freightliner,M2,2017,Heavy Truck,1008,Executive Fleet,Light Duty,EV,2.5L,"",2017-07-19,2017-09-14,2020-01-19,Out of Service,170379,"",STL01,St. Louis Fleet Center,FleetMaster,2026-03-26,VH-10304,raw.vehicle_master_raw,10304,0,CLEAN,2026-05-29 14:00:10
10162,VH-10162,WFR7A4016KT0KCZ6Z,BRE6768,IN,Toyota,Prius,2014,Sedan,1004,Maintenance,Light Duty,DIESEL,2.0L,Automatic,2014-02-02,2014-02-22,02/25/2019,Inactive,121220,"",STL01,St. Louis Fleet Center,FleetMaster,2026-03-11,VH-10162,raw.vehicle_master_raw,10162,0,CLEAN,2026-05-29 14:00:10
10036,VH-10036,GVJ8X6XUAX9317YBP,NOS8673,IL,Ford,Explorer,2019,SUV,1007,Facilities,Heavy Duty,GAS,1.8L,AUTO,2019-02-06,2019-02-26,2022-06-09,In Service,93604,"",MIL01,Milwaukee Repair Yard,FleetMaster,2025-10-10,VH-10036,raw.vehicle_master_raw,10036,0,CLEAN,2026-05-29 14:00:10
10014,VH-10014,78Z6M156L328RPYUW,XSN2561,"",International,MV607,2024,Heavy Truck,1004,Maintenance,Pool,ELECTRIC,5.3L,"",2024-12-02,02/22/2025,2029-12-18,Out of Service,42011,"",DET01,Detroit Partner Shop,FleetMaster,2025-02-04,VH-10014,raw.vehicle_master_raw,10014,0,CLEAN,2026-05-29 14:00:10
10240,VH-10240,CTENDHC6Y7VZMKCV2,PHR2203,MO,Ford,Transit,2022,Van,1005,Customer Support,Pool,Diesel,"","",2022-03-22,04/08/2022,2027-08-08,Available,53210,"",STL01,St. Louis Fleet Center,Fleet_Master,2025-07-01,VH-10240,raw.vehicle_master_raw,10240,0,CLEAN,2026-05-29 14:00:10
10388,VH-10388,T6B14TK58WFF60MCB,TSV3645,MO,GMC,Sierra,2025,Truck,1008,Executive Fleet,Light Duty,Electric,1.8L,"",2025-08-10,2025-08-22,2028-02-08,In Service,21441,"",STL01,St. Louis Fleet Center,FleetMaster,2025-07-25,VH-10388,raw.vehicle_master_raw,10388,0,CLEAN,2026-05-29 14:00:10
10055,VH-10055,1C65LFUS7ELY6XKJD,ZVF7828,MO,Nissan,NV200,2017,Van,1008,Executive Fleet,Light Duty,petrol,2.0L,"",2017-09-07,2017-11-15,2022-09-25,Inactive,91103,"",CHI02,Northside Service Hub,Fleet_Master,2025-03-20,VH-10055,raw.vehicle_master_raw,10055,0,CLEAN,2026-05-29 14:00:10
