assessment_id,assessment_date_raw,vehicle_id,registration_no,mileage_raw,odometer_reading_raw,last_service_date_raw,source_table,source_record_id,clean_assessment_key,clean_mileage,clean_odometer_reading,alteryx_processed_at,vin,clean_vehicle_key,has_review_required_exception,clean_record_status
CA-001493,2025-09-28,VH-10342,FAH0585,206213,215367,2025-08-20,raw.fleet_condition_assessment_raw,CA-001493,CA-001493,206213,215367,2026-05-29 14:00:10,0MGV3WM30P4W3DV6B,VH-10342,0,CLEAN
CA-000676,2025-02-24,VH-10342,FAH0585,200009,199774,2024-08-03,raw.fleet_condition_assessment_raw,CA-000676,CA-000676,200009,199774,2026-05-29 14:00:10,0MGV3WM30P4W3DV6B,VH-10342,0,CLEAN
CA-000300,2024-09-23,VH-10151,SSC6539,214193,214387,2023-11-24,raw.fleet_condition_assessment_raw,CA-000300,CA-000300,214193,214387,2026-05-29 14:00:10,SRBHVWMHE7TDS2Z7B,VH-10151,0,CLEAN
CA-000485,2024-04-19,VH-10151,SSC6539,206553,206354,2024-03-31,raw.fleet_condition_assessment_raw,CA-000485,CA-000485,206553,206354,2026-05-29 14:00:10,SRBHVWMHE7TDS2Z7B,VH-10151,0,CLEAN
CA-001416,2024-07-12,VH-10151,SSC6539,209495,209681,2024-05-04,raw.fleet_condition_assessment_raw,CA-001416,CA-001416,209495,209681,2026-05-29 14:00:10,SRBHVWMHE7TDS2Z7B,VH-10151,0,CLEAN
CA-000253,2025-07-28,VH-10151,SSC6539,207567,219271,2025-06-15,raw.fleet_condition_assessment_raw,CA-000253,CA-000253,207567,219271,2026-05-29 14:00:10,SRBHVWMHE7TDS2Z7B,VH-10151,0,CLEAN
CA-000902,2025-12-21,VH-10151,SSC6539,209249,231524,2025-04-08,raw.fleet_condition_assessment_raw,CA-000902,CA-000902,209249,231524,2026-05-29 14:00:10,SRBHVWMHE7TDS2Z7B,VH-10151,0,CLEAN
CA-001035,2026-02-16,VH-10308,MEE9917,28909,28879,2025-05-07,raw.fleet_condition_assessment_raw,CA-001035,CA-001035,28909,28879,2026-05-29 14:00:10,TUXA33DM97RLZMK5C,VH-10308,0,CLEAN
CA-001446,2024-02-27,VH-10308,MEE9917,29114,48251,2023-07-15,raw.fleet_condition_assessment_raw,CA-001446,CA-001446,29114,48251,2026-05-29 14:00:10,TUXA33DM97RLZMK5C,VH-10308,0,CLEAN
CA-000900,2025-10-28,VH-10366,EFI6964,21075,20917,2025-06-15,raw.fleet_condition_assessment_raw,CA-000900,CA-000900,21075,20917,2026-05-29 14:00:10,XE7VW2NERBU22JHYJ,VH-10366,0,CLEAN
CA-000373,2026-01-31,VH-10366,EFI6964,17774,38069,2025-04-25,raw.fleet_condition_assessment_raw,CA-000373,CA-000373,17774,38069,2026-05-29 14:00:10,XE7VW2NERBU22JHYJ,VH-10366,0,CLEAN
CA-001492,2024-02-28,VH-10366,EFI6964,16271,40333,2023-12-23,raw.fleet_condition_assessment_raw,CA-001492,CA-001492,16271,40333,2026-05-29 14:00:10,XE7VW2NERBU22JHYJ,VH-10366,0,CLEAN
CA-000621,2025-05-12,VH-10366,EFI6964,22334,22356,2025-02-06,raw.fleet_condition_assessment_raw,CA-000621,CA-000621,22334,22356,2026-05-29 14:00:10,XE7VW2NERBU22JHYJ,VH-10366,0,CLEAN
CA-000588,07/19/2024,VH-10366,EFI6964,17528,17402,2024-04-27,raw.fleet_condition_assessment_raw,CA-000588,CA-000588,17528,17402,2026-05-29 14:00:10,XE7VW2NERBU22JHYJ,VH-10366,0,CLEAN
CA-001421,2026-01-02,VH-10359,QRK4441,92632,97636,2025-04-13,raw.fleet_condition_assessment_raw,CA-001421,CA-001421,92632,97636,2026-05-29 14:00:10,2WGWT8F86C94GFMPG,VH-10359,0,CLEAN
CA-000896,2025-03-10,VH-10359,QRK4441,93316,112140,2024-10-15,raw.fleet_condition_assessment_raw,CA-000896,CA-000896,93316,112140,2026-05-29 14:00:10,2WGWT8F86C94GFMPG,VH-10359,0,CLEAN
CA-000385,2026-04-24,VH-10359,QRK4441,92104,100762,2025-07-26,raw.fleet_condition_assessment_raw,CA-000385,CA-000385,92104,100762,2026-05-29 14:00:10,2WGWT8F86C94GFMPG,VH-10359,0,CLEAN
CA-000684,2025-11-27,VH-10266,TYG7961,16967,33495,2025-03-10,raw.fleet_condition_assessment_raw,CA-000684,CA-000684,16967,33495,2026-05-29 14:00:10,U3K9Y3YEXRSYX7DNT,VH-10266,0,CLEAN
CA-000784,12/11/2024,VH-10266,TYG7961,21414,38373,2024-05-09,raw.fleet_condition_assessment_raw,CA-000784,CA-000784,21414,38373,2026-05-29 14:00:10,U3K9Y3YEXRSYX7DNT,VH-10266,0,CLEAN
CA-000002,2024-09-14,VH-10266,TYG7961,12939,12845,2024-08-11,raw.fleet_condition_assessment_raw,CA-000002,CA-000002,12939,12845,2026-05-29 14:00:10,U3K9Y3YEXRSYX7DNT,VH-10266,0,CLEAN
CA-001097,2024-08-20,VH-10266,TYG7961,19079,38845,2023-09-27,raw.fleet_condition_assessment_raw,CA-001097,CA-001097,19079,38845,2026-05-29 14:00:10,U3K9Y3YEXRSYX7DNT,VH-10266,0,CLEAN
CA-001361,2025-10-16,VH-10266,TYG7961,16872,16685,2025-05-14,raw.fleet_condition_assessment_raw,CA-001361,CA-001361,16872,16685,2026-05-29 14:00:10,U3K9Y3YEXRSYX7DNT,VH-10266,0,CLEAN
CA-001206,2025-05-28,VH-10350,BNP9893,90316,90524,05/03/2024,raw.fleet_condition_assessment_raw,CA-001206,CA-001206,90316,90524,2026-05-29 14:00:10,P6R2BLXFTV48NJFEU,VH-10350,0,CLEAN
CA-001362,2025-01-07,VH-10350,BNP9893,92258,92404,2023-12-04,raw.fleet_condition_assessment_raw,CA-001362,CA-001362,92258,92404,2026-05-29 14:00:10,P6R2BLXFTV48NJFEU,VH-10350,0,CLEAN
CA-000406,2025-07-03,VH-10350,BNP9893,98108,98180,2025-03-24,raw.fleet_condition_assessment_raw,CA-000406,CA-000406,98108,98180,2026-05-29 14:00:10,P6R2BLXFTV48NJFEU,VH-10350,0,CLEAN
CA-001301,2025-08-29,VH-10350,BNP9893,93895,108501,2024-10-30,raw.fleet_condition_assessment_raw,CA-001301,CA-001301,93895,108501,2026-05-29 14:00:10,P6R2BLXFTV48NJFEU,VH-10350,0,CLEAN
CA-001483,09/10/2024,VH-10350,BNP9893,97109,114376,2024-03-13,raw.fleet_condition_assessment_raw,CA-001483,CA-001483,97109,114376,2026-05-29 14:00:10,P6R2BLXFTV48NJFEU,VH-10350,0,CLEAN
CA-001230,2024-04-03,VH-10312,XWK2100,237077,237033,2024-02-24,raw.fleet_condition_assessment_raw,CA-001230,CA-001230,237077,237033,2026-05-29 14:00:10,CE8XHEMES1RYLPH4T,VH-10312,0,CLEAN
CA-000708,2026-03-22,VH-10312,XWK2100,240478,258963,2025-03-21,raw.fleet_condition_assessment_raw,CA-000708,CA-000708,240478,258963,2026-05-29 14:00:10,CE8XHEMES1RYLPH4T,VH-10312,0,CLEAN
CA-000786,01/04/2025,VH-10094,VNX4399,18075,17891,12/07/2024,raw.fleet_condition_assessment_raw,CA-000786,CA-000786,18075,17891,2026-05-29 14:00:10,ESZF9ZRURZ902SHC0,VH-10094,0,CLEAN
CA-001393,2025-12-03,VH-10094,VNX4399,16541,34301,2025-11-08,raw.fleet_condition_assessment_raw,CA-001393,CA-001393,16541,34301,2026-05-29 14:00:10,ESZF9ZRURZ902SHC0,VH-10094,0,CLEAN
CA-000547,2024-01-01,VH-10094,VNX4399,14148,34782,2023-05-26,raw.fleet_condition_assessment_raw,CA-000547,CA-000547,14148,34782,2026-05-29 14:00:10,ESZF9ZRURZ902SHC0,VH-10094,0,CLEAN
CA-000583,2024-01-26,VH-10094,VNX4399,11154,29319,2023-07-08,raw.fleet_condition_assessment_raw,CA-000583,CA-000583,11154,29319,2026-05-29 14:00:10,ESZF9ZRURZ902SHC0,VH-10094,0,CLEAN
CA-001068,2024-12-10,VH-10081,HAC4851,133624,133787,2024-05-23,raw.fleet_condition_assessment_raw,CA-001068,CA-001068,133624,133787,2026-05-29 14:00:10,6VK8RMCFGXF6ST3HU,VH-10081,0,CLEAN
CA-000690,08/08/2024,VH-10081,HAC4851,134753,140899,2023-11-15,raw.fleet_condition_assessment_raw,CA-000690,CA-000690,134753,140899,2026-05-29 14:00:10,6VK8RMCFGXF6ST3HU,VH-10081,0,CLEAN
CA-001003,2024-08-28,VH-10081,HAC4851,136871,158991,2023-12-05,raw.fleet_condition_assessment_raw,CA-001003,CA-001003,136871,158991,2026-05-29 14:00:10,6VK8RMCFGXF6ST3HU,VH-10081,0,CLEAN
CA-000647,05/08/2025,VH-10153,MHT0800,187051,209199,2024-07-31,raw.fleet_condition_assessment_raw,CA-000647,CA-000647,187051,209199,2026-05-29 14:00:10,GXLKZYM1YAGAA7WYE,VH-10153,0,CLEAN
CA-001188,2024-01-06,VH-10153,MHT0800,184699,184854,2023-05-14,raw.fleet_condition_assessment_raw,CA-001188,CA-001188,184699,184854,2026-05-29 14:00:10,GXLKZYM1YAGAA7WYE,VH-10153,0,CLEAN
CA-001484,2026-03-07,VH-10153,MHT0800,183475,190294,2025-02-17,raw.fleet_condition_assessment_raw,CA-001484,CA-001484,183475,190294,2026-05-29 14:00:10,GXLKZYM1YAGAA7WYE,VH-10153,0,CLEAN
CA-000233,2024-12-02,VH-10225,CNQ7471,77787,77738,2024-11-14,raw.fleet_condition_assessment_raw,CA-000233,CA-000233,77787,77738,2026-05-29 14:00:10,8JWYSULCBNY6WK70R,VH-10225,0,CLEAN
CA-000159,2025-08-02,VH-10225,CNQ7471,86835,91996,2024-06-10,raw.fleet_condition_assessment_raw,CA-000159,CA-000159,86835,91996,2026-05-29 14:00:10,8JWYSULCBNY6WK70R,VH-10225,0,CLEAN
CA-001338,2025-06-06,VH-10225,CNQ7471,79670,79532,2024-07-04,raw.fleet_condition_assessment_raw,CA-001338,CA-001338,79670,79532,2026-05-29 14:00:10,8JWYSULCBNY6WK70R,VH-10225,0,CLEAN
CA-001117,2024-05-07,VH-10208,TES6102,106021,117686,2023-09-06,raw.fleet_condition_assessment_raw,CA-001117,CA-001117,106021,117686,2026-05-29 14:00:10,9P1EFCN93RCC0JVXS,VH-10208,0,CLEAN
CA-000082,2024-03-20,VH-10208,TES6102,105235,105121,2023-12-25,raw.fleet_condition_assessment_raw,CA-000082,CA-000082,105235,105121,2026-05-29 14:00:10,9P1EFCN93RCC0JVXS,VH-10208,0,CLEAN
CA-000403,2024-07-29,VH-10208,TES6102,107493,107306,2023-12-18,raw.fleet_condition_assessment_raw,CA-000403,CA-000403,107493,107306,2026-05-29 14:00:10,9P1EFCN93RCC0JVXS,VH-10208,0,CLEAN
CA-001310,2026-04-19,VH-10088,HOV5056,131569,150465,2025-05-30,raw.fleet_condition_assessment_raw,CA-001310,CA-001310,131569,150465,2026-05-29 14:00:10,"",VH-10088,0,CLEAN
CA-000429,2024-01-06,VH-10088,HOV5056,129436,129512,2023-08-20,raw.fleet_condition_assessment_raw,CA-000429,CA-000429,129436,129512,2026-05-29 14:00:10,"",VH-10088,0,CLEAN
CA-000280,2025-12-17,VH-10088,HOV5056,134486,140026,2025-09-06,raw.fleet_condition_assessment_raw,CA-000280,CA-000280,134486,140026,2026-05-29 14:00:10,"",VH-10088,0,CLEAN
CA-000042,2025-09-22,VH-10088,HOV5056,135758,135622,2024-12-13,raw.fleet_condition_assessment_raw,CA-000042,CA-000042,135758,135622,2026-05-29 14:00:10,"",VH-10088,0,CLEAN
CA-000171,2025-12-19,VH-10088,HOV5056,133782,133633,2025-10-30,raw.fleet_condition_assessment_raw,CA-000171,CA-000171,133782,133633,2026-05-29 14:00:10,"",VH-10088,0,CLEAN
CA-000921,2025-11-15,VH-10286,SEC6328,15100,15260,2025-10-01,raw.fleet_condition_assessment_raw,CA-000921,CA-000921,15100,15260,2026-05-29 14:00:10,WTGN52ET5YND47HDF,VH-10286,0,CLEAN
CA-000844,2024-03-16,VH-10335,ESS4989,217793,218026,2024-03-01,raw.fleet_condition_assessment_raw,CA-000844,CA-000844,217793,218026,2026-05-29 14:00:10,38MU10KJSMCTLMBXC,VH-10335,0,CLEAN
CA-001472,11/30/2024,VH-10335,ESS4989,217885,217664,2024-04-23,raw.fleet_condition_assessment_raw,CA-001472,CA-001472,217885,217664,2026-05-29 14:00:10,38MU10KJSMCTLMBXC,VH-10335,0,CLEAN
CA-001423,2025-04-16,VH-10324,VPP3552,190998,211256,01/11/2025,raw.fleet_condition_assessment_raw,CA-001423,CA-001423,190998,211256,2026-05-29 14:00:10,R6J5VVV7H5H5M2E36,VH-10324,0,CLEAN
CA-000361,2025-01-04,VH-10324,VPP3552,192053,214295,2024-11-17,raw.fleet_condition_assessment_raw,CA-000361,CA-000361,192053,214295,2026-05-29 14:00:10,R6J5VVV7H5H5M2E36,VH-10324,0,CLEAN
CA-000870,2025-09-10,VH-10324,VPP3552,190742,190924,2024-11-05,raw.fleet_condition_assessment_raw,CA-000870,CA-000870,190742,190924,2026-05-29 14:00:10,R6J5VVV7H5H5M2E36,VH-10324,0,CLEAN
CA-000162,2024-01-12,VH-10324,VPP3552,190816,190842,2023-07-17,raw.fleet_condition_assessment_raw,CA-000162,CA-000162,190816,190842,2026-05-29 14:00:10,R6J5VVV7H5H5M2E36,VH-10324,0,CLEAN
CA-000013,2024-01-07,VH-10324,VPP3552,187589,209029,2023-08-17,raw.fleet_condition_assessment_raw,CA-000013,CA-000013,187589,209029,2026-05-29 14:00:10,R6J5VVV7H5H5M2E36,VH-10324,0,CLEAN
CA-000307,2024-02-15,VH-10281,HLL5436,133145,133144,2023-09-09,raw.fleet_condition_assessment_raw,CA-000307,CA-000307,133145,133144,2026-05-29 14:00:10,3Y6KN1ELE5NUMWFFE,VH-10281,0,CLEAN
CA-000525,2026-03-13,VH-10157,DSZ9993,170550,189391,2025-09-27,raw.fleet_condition_assessment_raw,CA-000525,CA-000525,170550,189391,2026-05-29 14:00:10,CZA9P14PYWB6JGY84,VH-10157,0,CLEAN
CA-000755,2026-01-10,VH-10157,DSZ9993,163018,162875,2026-01-06,raw.fleet_condition_assessment_raw,CA-000755,CA-000755,163018,162875,2026-05-29 14:00:10,CZA9P14PYWB6JGY84,VH-10157,0,CLEAN
CA-000356,2025-07-01,VH-10157,DSZ9993,167595,191345,01/06/2025,raw.fleet_condition_assessment_raw,CA-000356,CA-000356,167595,191345,2026-05-29 14:00:10,CZA9P14PYWB6JGY84,VH-10157,0,CLEAN
CA-001372,2025-12-01,VH-10296,WSD6491,130118,140255,03/03/2025,raw.fleet_condition_assessment_raw,CA-001372,CA-001372,130118,140255,2026-05-29 14:00:10,U4B65TATV3ZBVXLT8,VH-10296,0,CLEAN
CA-000717,2025-12-18,VH-10296,WSD6491,135404,155854,2024-11-12,raw.fleet_condition_assessment_raw,CA-000717,CA-000717,135404,155854,2026-05-29 14:00:10,U4B65TATV3ZBVXLT8,VH-10296,0,CLEAN
CA-001498,2025-06-02,VH-10272,TLC1726,233619,241308,2024-12-21,raw.fleet_condition_assessment_raw,CA-001498,CA-001498,233619,241308,2026-05-29 14:00:10,P5E5Z3BEJ6Y32GDT8,VH-10272,0,CLEAN
CA-000515,2024-07-22,VH-10272,TLC1726,236989,237007,2024-05-29,raw.fleet_condition_assessment_raw,CA-000515,CA-000515,236989,237007,2026-05-29 14:00:10,P5E5Z3BEJ6Y32GDT8,VH-10272,0,CLEAN
CA-000098,2025-07-28,VH-10272,TLC1726,235135,256622,2025-07-25,raw.fleet_condition_assessment_raw,CA-000098,CA-000098,235135,256622,2026-05-29 14:00:10,P5E5Z3BEJ6Y32GDT8,VH-10272,0,CLEAN
CA-001399,2025-09-27,VH-10272,TLC1726,229229,239182,2025-09-12,raw.fleet_condition_assessment_raw,CA-001399,CA-001399,229229,239182,2026-05-29 14:00:10,P5E5Z3BEJ6Y32GDT8,VH-10272,0,CLEAN
CA-001054,2026-04-01,VH-10327,VGN5882,166828,167083,2025-02-26,raw.fleet_condition_assessment_raw,CA-001054,CA-001054,166828,167083,2026-05-29 14:00:10,KY9W19T15CGA86FUA,VH-10327,0,CLEAN
CA-000096,2024-04-15,VH-10327,VGN5882,161478,183387,2023-09-14,raw.fleet_condition_assessment_raw,CA-000096,CA-000096,161478,183387,2026-05-29 14:00:10,KY9W19T15CGA86FUA,VH-10327,0,CLEAN
CA-000517,08/16/2024,VH-10327,VGN5882,167745,192722,2024-01-21,raw.fleet_condition_assessment_raw,CA-000517,CA-000517,167745,192722,2026-05-29 14:00:10,KY9W19T15CGA86FUA,VH-10327,0,CLEAN
CA-000785,2025-03-30,VH-10327,VGN5882,169607,186738,03/07/2025,raw.fleet_condition_assessment_raw,CA-000785,CA-000785,169607,186738,2026-05-29 14:00:10,KY9W19T15CGA86FUA,VH-10327,0,CLEAN
CA-001179,2025-11-01,VH-10327,VGN5882,162384,172786,2024-12-23,raw.fleet_condition_assessment_raw,CA-001179,CA-001179,162384,172786,2026-05-29 14:00:10,KY9W19T15CGA86FUA,VH-10327,0,CLEAN
CA-000091,2024-07-21,VH-10388,TSV3645,25593,25857,03/27/2024,raw.fleet_condition_assessment_raw,CA-000091,CA-000091,25593,25857,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-000899,2026-03-01,VH-10388,VEE2634,16582,24119,2025-05-30,raw.fleet_condition_assessment_raw,CA-000899,CA-000899,16582,24119,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-000140,2025-12-21,VH-10388,TSV3645,22238,28231,2025-04-17,raw.fleet_condition_assessment_raw,CA-000140,CA-000140,22238,28231,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-001076,2024-06-03,VH-10388,TSV3645,16938,34687,2024-02-25,raw.fleet_condition_assessment_raw,CA-001076,CA-001076,16938,34687,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-001006,2025-02-04,VH-10388,TSV3645,23050,22854,2025-01-15,raw.fleet_condition_assessment_raw,CA-001006,CA-001006,23050,22854,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-001229,2025-05-29,VH-10388,TSV3645,23989,23893,2025-03-30,raw.fleet_condition_assessment_raw,CA-001229,CA-001229,23989,23893,2026-05-29 14:00:10,T6B14TK58WFF60MCB,VH-10388,0,CLEAN
CA-000666,2024-02-07,VH-10129,QNL7195,137131,137346,2024-02-02,raw.fleet_condition_assessment_raw,CA-000666,CA-000666,137131,137346,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-000155,2024-05-13,VH-10129,QNL7195,143420,143427,2023-10-17,raw.fleet_condition_assessment_raw,CA-000155,CA-000155,143420,143427,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-001211,2026-02-10,VH-10129,QNL7195,145183,150733,2025-08-28,raw.fleet_condition_assessment_raw,CA-001211,CA-001211,145183,150733,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-001016,2024-03-29,VH-10129,QNL7195,139171,157087,2023-09-22,raw.fleet_condition_assessment_raw,CA-001016,CA-001016,139171,157087,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-000936,2024-07-25,VH-10129,ZJL7593,144154,159200,2023-10-09,raw.fleet_condition_assessment_raw,CA-000936,CA-000936,144154,159200,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-001210,2025-02-04,VH-10129,QNL7195,138124,152392,2023-12-13,raw.fleet_condition_assessment_raw,CA-001210,CA-001210,138124,152392,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-001386,2024-03-06,VH-10129,QNL7195,146545,165082,10/21/2023,raw.fleet_condition_assessment_raw,CA-001386,CA-001386,146545,165082,2026-05-29 14:00:10,RKZCYPUWKUXWLUT6A,VH-10129,0,CLEAN
CA-001243,2025-01-13,VH-10071,DCB2613,157896,157823,2024-09-09,raw.fleet_condition_assessment_raw,CA-001243,CA-001243,157896,157823,2026-05-29 14:00:10,CRMP7MDCCA4SFSK5K,VH-10071,0,CLEAN
CA-000059,2025-09-20,VH-10071,DCB2613,158457,177489,2024-08-11,raw.fleet_condition_assessment_raw,CA-000059,CA-000059,158457,177489,2026-05-29 14:00:10,CRMP7MDCCA4SFSK5K,VH-10071,0,CLEAN
CA-001025,2025-06-28,VH-10071,DCB2613,161473,183844,2024-08-21,raw.fleet_condition_assessment_raw,CA-001025,CA-001025,161473,183844,2026-05-29 14:00:10,CRMP7MDCCA4SFSK5K,VH-10071,0,CLEAN
CA-000367,2025-05-25,VH-10071,DCB2613,158834,176122,2024-07-13,raw.fleet_condition_assessment_raw,CA-000367,CA-000367,158834,176122,2026-05-29 14:00:10,CRMP7MDCCA4SFSK5K,VH-10071,0,CLEAN
CA-000094,2026-03-03,VH-10071,DCB2613,159787,159972,2026-03-01,raw.fleet_condition_assessment_raw,CA-000094,CA-000094,159787,159972,2026-05-29 14:00:10,CRMP7MDCCA4SFSK5K,VH-10071,0,CLEAN
CA-001278,2024-01-28,VH-10150,YUA5745,108197,108076,2023-04-08,raw.fleet_condition_assessment_raw,CA-001278,CA-001278,108197,108076,2026-05-29 14:00:10,DX4RR107409348B50,VH-10150,0,CLEAN
CA-001353,2025-03-24,VH-10150,YUA5745,103187,102994,2024-10-03,raw.fleet_condition_assessment_raw,CA-001353,CA-001353,103187,102994,2026-05-29 14:00:10,DX4RR107409348B50,VH-10150,0,CLEAN
CA-000502,2024-10-02,VH-10080,RSK8119,145854,160802,2024-08-02,raw.fleet_condition_assessment_raw,CA-000502,CA-000502,145854,160802,2026-05-29 14:00:10,PFKM02J9DD2GCNZU5,VH-10080,0,CLEAN
CA-001265,2024-09-19,VH-10080,RSK8119,140077,139907,2023-07-28,raw.fleet_condition_assessment_raw,CA-001265,CA-001265,140077,139907,2026-05-29 14:00:10,PFKM02J9DD2GCNZU5,VH-10080,0,CLEAN
CA-001213,2024-03-01,VH-10056,VZK4595,131944,132089,2024-02-22,raw.fleet_condition_assessment_raw,CA-001213,CA-001213,131944,132089,2026-05-29 14:00:10,SRJDFUHZ3P7E8T121,VH-10056,0,CLEAN
CA-000727,2026-03-11,VH-10056,VZK4595,132268,132236,2025-03-19,raw.fleet_condition_assessment_raw,CA-000727,CA-000727,132268,132236,2026-05-29 14:00:10,SRJDFUHZ3P7E8T121,VH-10056,0,CLEAN
CA-000420,2024-05-21,VH-10056,VZK4595,128579,128767,2024-04-27,raw.fleet_condition_assessment_raw,CA-000420,CA-000420,128579,128767,2026-05-29 14:00:10,SRJDFUHZ3P7E8T121,VH-10056,0,CLEAN
