assessment_id,assessment_date,vehicle_id,registration_no,Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,source_system
CA-000111,2025-04-18,VH-10242,ROG2722,Truck,13708,Unknown,1,1,Hybrid,Automatic,2.5L,23074,04/10/2024,2029-12-13,Second,4389,6,3,9.7,Worn,Poor,Replace,1,ConditionPortal
CA-000112,2024-04-28,VH-X1669,AOH6816,Nissan NV200,19525,GOOD,0,1,Diesel,Automatic,2000,19728,2024-01-08,2029-09-11,Company,4180,1,2,18.18,GOOD,Poor,New,0,InspectionApp
CA-000113,06/13/2024,VH-10120,VFZ1606,Van,91475,Average,0,5,EV,,2000,91312,2024-05-14,05/09/2025,Second,2410,6,0,34.53,New,New,New,0,ConditionPortal
CA-000114,2026-04-25,,BNS2277,Truck,42440,Poor,0,2,Diesel,Manual,3.5L,42535,2026-03-19,01/15/2029,Leased,2913,0,0,39.6,Good,Good,New,0,MaintenanceRiskModel
CA-000115,2025-06-11,VH-10373,FQT4863,Ram 1500,20786,GOOD,2,1,DIESEL,Automatic,Electric,20996,2024-07-18,2025-06-25,Second,4217,14,1,16.34,GOOD,Worn,WEAK,0,ConditionPortal
CA-000116,2024-09-30,VH-10166,GBU2244,Truck,121751,Good,1,12,Diesel,Automatic,2000,134505,2024-05-03,2018-10-15,Second,1667,11,1,16.28,Poor,Needs Service,Replace,1,MaintenanceRiskModel
CA-000117,2025-05-19,VH-10142,QLD6274,Toyota Tacoma,87289,Poor,2,7,Diesel,AUTO,3.5L,87516,2024-10-29,2024-10-28,Company,1012,10,1,53.73,New,Poor,Good,1,InspectionApp
CA-000118,2026-04-30,VH-10348,LHS3364,Civic,7443,Unknown,1,1,Hybrid,Automatic,,22910,2026-06-27,2028-03-09,Leased,3072,7,0,43.61,Worn,Poor,New,0,ConditionPortal
CA-000119,2024-06-24,VH-10106,GEF3172,Truck,62417,Good,1,6,EV,,,62247,2023-12-27,2023-03-07,,1333,11,1,22.84,New,New,Unknown,1,InspectionApp
CA-000120,02/14/2025,VH-10401,WLP4309,Chevrolet Express,287685,Poor,2,13,DIESEL,AUTO,Electric,287639,2024-02-19,2017-04-16,Second,3895,14,2,18.64,Worn,Needs Service,New,0,ConditionPortal
CA-000121,2024-05-26,VH-10338,RZY1050,Sedan,134402,Good,,7,Diesel,AUTO,2.5L,148422,2024-02-06,2024-09-12,,1792,8,0,45.17,New,Poor,Weak,1,ConditionPortal
CA-000122,2024-09-28,VH-10368,ECP4241,GMC Sierra,16500,Unknown,0,1,Hybrid,Manual,2000,30831,2024-03-12,2028-12-02,Second,1793,8,3,16.85,Good,Good,Unknown,1,MaintenanceRiskModel
CA-000123,02/14/2024,VH-10314,DPI9068,MV607,121759,Good,2,10,Gas,Manual,3.5L,132795,2023-12-21,2024-11-16,,2415,16,0,45.21,Worn,Needs Service,Unknown,0,ConditionPortal
CA-000124,2026-04-25,VH-10066,MTT6502,Silverado,213486,Good,,11,GAS,,2500,228427,2025-04-09,2027-02-13,Second,1918,6,3,19.2,Good,GOOD,Good,1,MaintenanceRiskModel
CA-000125,2025-05-22,,QGL6636,Transit,283927,Unknown,0,14,ELECTRIC,Automatic,3.5L,299697,2025-04-08,2017-07-29,Leased,2992,0,1,19.23,New,Needs Service,New,1,InspectionApp
CA-000126,2024-02-12,VH-10304,NJT5668,Heavy Truck,175312,Good,1,9,Gas,,2500,181670,2023-06-20,2020-01-19,Pool,816,10,0,50.29,Worn,New,New,0,InspectionApp
